guid,noteid,Title,OccludedImage,Clinical,Comment,Origin,Insertion,Attachments,Innervation,Actions,Plate,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a,15a,16a,17a,18a,19a,20a,tags
;HAi}7?H]~,1537726196834,"Upper Limb","<img src=""paste-16299400888321.jpg"" />",,,,,,,,,"Articular circumference of radius","Radial tuberosity","Radial styloid process","Trochlear notch","Coronoid process","Ulnar tuberosity","Styloid process of ulna",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Musculoskeletal::Skeletal::Upper_Limb::Arm"
T%*%Fy*;8B,1537726262363,"Upper Limb","<img src=""paste-16673063043073.jpg"" />",,,,,,,,,"Median nerve","Brachioradialis muscle","Tendon of flexor carpi radialis muscle","Palmar aponeurosis","Bicipital aponeurosis","Palmaris longus muscle","Tendon of flexor carpi ulnaris muscle","Abductor digiti minimi muscle",,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Arm"
8m5Em;_*>F,1537754570834,"Upper Limb","<img src=""paste-16758962388993.jpg"" />","<div>There is a rich anastomosis of vessels around the elbow&nbsp;joint, which permits blood flow to the forearm and hand&nbsp;regardless of the position of the elbow joint. Recurrent&nbsp;branches, in some cases double, originate from radial,&nbsp;ulnar, and interosseous arteries and travel proximally both&nbsp;anterior and posterior to the elbow joint. These vessels&nbsp;anastomose with collateral branches of the brachial and&nbsp;deep brachial arteries.</div>",,,,,,,,"Radial recurrent artery","Radial artery","Brachioradialis muscle","Inferior ulnar collateral artery","Brachial artery","Pronator teres","Ulnar artery",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Cardiovascular::Vascular::Upper_Limb::Arm"
XU{3CjNmf=,1537754653399,"Upper Limb","<img src=""paste-16836271800321.jpg"" />",,,,,,,,,"Biceps brachii muscle","<div>Lateral cutaneous nerve of forearm (terminal</div><div>branch of musculocutaneous nerve)</div>","Superficial branch of radial nerve","Radial recurrent artery","Brachialis muscle","Median nerve","Pronator teres muscle",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Nervous::PNS::Upper_Limb::Hand/Wrist/Forearm"
Q<90hO[3P-,1537754728438,"Upper Limb","<img src=""paste-16909286244353.jpg"" />",,,,,,,,,"Tendon of flexor carpi radialis muscle","Flexor pollicis brevis muscle","Median nerve","Flexor digitorum superficialis muscle","Ulnar nerve","Tendon of palmaris longus muscle","Superficial palmar arch","Common palmar digital branch of ulnar nerve",,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm"
(3j46OkO8>,1537754802808,"Upper Limb","<img src=""paste-16990890622977.jpg"" />","<div>The four lumbrical muscles of the hand arise from the&nbsp;radial side of the flexor digitorum profundus tendons.&nbsp;They insert primarily into the extensor expansion tendons&nbsp;on the dorsal side of digits 2 to 5. They act primarily to&nbsp;extend the interphalangeal joints, although they also&nbsp;can flex the metatarsophalangeal joints. The two medial&nbsp;lumbrical muscles are innervated by the ulnar nerve,&nbsp;whereas the two lateral muscles are innervated by the&nbsp;median nerve. Thus, an injury to the median nerve would&nbsp;paralyze the lumbricals to digits 2 and 3, whereas injury&nbsp;to the ulnar nerve would affect the lumbricals to digits&nbsp;4 and 5.</div>",,,,,,,,"Brachialis muscle","Tendon of abductor pollicis longus muscle","Tendon of flexor pollicis longus muscle","<div>Tendons of flexor digitorum profundus muscle</div><div>(having passed through the divided tendons of the&nbsp;flexor digitorum superficialis muscle)</div>","Pronator teres muscle","Tendon of flexor carpi ulnaris muscle","Lumbrical muscles","<div>Tendons of flexor digitorum superficialis muscle&nbsp;(cut)</div>",,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Arm"
<2Aiv*^MnE,1537754927421,"Upper Limb","<img src=""paste-17124034609153.jpg"">",,,,,,,,,"Brachioradialis muscle","Radial recurrent artery","Median nerve","Anterior interosseous artery","Ulnar artery","Ulnar nerve","Flexor digitorum profundus muscle",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Cardiovascular::Vascular::Upper_Limb::Hand/Wrist/Forearm"
.T6R_eW4bY,1537755012452,"Upper Limb","<img src=""paste-17252883628033.jpg"" />",,,,,,,,,"Brachioradialis muscle","Superficial branch of radial nerve","Flexor pollicis longus muscle","Flexor retinaculum","Median nerve","Superficial branch of ulnar nerve",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Nervous::PNS::Upper_Limb::Hand/Wrist/Forearm"
WGK$98xg%),1537755077745,"Upper Limb","<img src=""paste-17377437679617.jpg"" />",,,,,,,,,"Biceps brachii muscle","Pronator teres muscle","Opponens pollicis muscle","Adductor pollicis muscle","Interosseous membrane","Pronator quadratus muscle","Flexor digiti minimi brevis muscle",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm"
"6v>s4/,@5N",1537755141402,"Upper Limb","<img src=""paste-17506286698497.jpg"" />","<div>The ulnar canal or ulnar tunnel, also called Guyon’s canal,&nbsp;is a space at the wrist between the pisiform bone and&nbsp;the hamate bone. It is traversed by the ulnar artery and&nbsp;the ulnar nerve. Guyon’s canal syndrome, sometimes&nbsp;called handlebar palsy, results from entrapment of the&nbsp;ulnar nerve in the canal. Symptoms usually begin with a&nbsp;feeling of pins and needles in the fourth and fifth digits;&nbsp;these symptoms may progress to a loss of sensation&nbsp;and/or paresis/paralysis of many of the intrinsic muscles&nbsp;of the hand.</div>",,,,,,,,"Radial artery","Median nerve","Superficial palmar arch","Inferior ulnar collateral artery","Ulnar recurrent artery","Ulnar nerve","Ulnar artery",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Cardiovascular::Vascular::Upper_Limb::Arm"
W=f44bUys!,1537755234274,"Upper Limb","<img src=""paste-17583596109825.jpg"" />",,,,,,,,,"Anconeus muscle","Extensor carpi ulnaris muscle","Extensor retinaculum","Tendons of extensor digiti minimi muscle","Extensor carpi radialis longus muscle","Extensor carpi radialis brevis muscle","Abductor pollicis longus muscle","Tendon of extensor pollicis longus muscle","First dorsal interosseous muscle",,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Arm"
",by~D)vB9R",1537755314467,"Upper Limb","<img src=""paste-17665200488449.jpg"" />",,,,,,,,,"Extensor carpi ulnaris muscle","Fourth dorsal interosseous muscle","Brachioradialis muscle","Extensor carpi radialis brevis muscle","Extensor indicis muscle","Tendon of extensor carpi radialis longus muscle","First dorsal interosseous muscle",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Arm"
5$sNQ(6TQC,1537755380852,"Upper Limb","<img src=""paste-17798344474625.jpg"" />","<div>A fractured scaphoid is often difficult to detect using&nbsp;radiography immediately after the fracture, although&nbsp;it can typically be easily seen using MRI. Furthermore,&nbsp;a transverse fracture of the scaphoid bone at its “waist”&nbsp;may result in avascular necrosis of the proximal segment&nbsp;because the blood supply to the scaphoid enters the&nbsp;bone distally.</div>",,,,,,,,Scaphoid,Trapezium,Capitate,Lunate,Pisiform,"Hamulus or hook of hamate",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Skeletal::Upper_Limb::Hand/Wrist/Forearm"
!yS~w*)5jL,1537755485514,"Upper Limb","<img src=""paste-17922898526209.jpg"" />","<div>Injury to the lower parts of the brachial plexus&nbsp;typically results in a “claw hand” deformity because&nbsp;most of the intrinsic hand muscles are innervated&nbsp;by the C8 and T1 spinal segments. A claw hand is&nbsp;produced by a combination of hyperextension at the&nbsp;metacarpophalangeal (MP) joints and flexion at the&nbsp;interphalangeal (IP) joints due to paralysis of the lumbrical&nbsp;and interossei muscles, which are necessary for producing&nbsp;flexion at the MP joints and extension at the IP joints.</div>",,,,,,,,"Pronator quadratus muscle","Tendon of flexor pollicis longus muscle","Dorsal interosseous muscle","Palmar interosseous muscle","Tendons of flexor digitorum superficialis muscle","Tendons of flexor digitorum profundus muscle",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm"
T#[F_Z;UIl,1537755569330,"Upper Limb","<img src=""paste-18068927414273 (1).jpg"" />",,,,,,,,,"Opponens pollicis muscle","Oblique head of adductor pollicis muscle","Transverse head of adductor pollicis muscle","Opponens digiti minimi muscle","Flexor digiti minimi brevis muscle","Second palmar interosseous muscle",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm"
)?#mWo=>R%,1537755631322,"Upper Limb","<img src=""paste-18137646891009.jpg"" />",,,,,,,,,"Superficial palmar branch of radial artery","Flexor pollicis brevis muscle","Flexor carpi ulnaris tendon","Abductor digiti minimi muscle","<div>Common palmar digital nerve (branch of&nbsp;ulnar nerve)</div>","Common palmar digital artery",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm"
$HF**U=yWK,1537755704532,"Upper Limb","<img src=""paste-18210661335041.jpg"">",,,,,,,,,"Radial artery","Tendon of flexor carpi radialis muscle","Abductor pollicis brevis muscle","<div>Oblique and transverse heads of adductor pollicis&nbsp;muscle</div>","Pronator quadratus muscle","Abductor digiti minimi muscle","Palmar digital artery of the fifth digit",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Hand/Wrist/Forearm"
/+pj%{(F&I,1537755763488,"Upper Limb","<img src=""paste-18305150615553.jpg"" />","<div>The princeps pollicis artery (principal artery of the thumb)&nbsp;branches off of the radial artery as it enters the deep part&nbsp;of the palm; the princeps pollicis artery passes between&nbsp;the first dorsal interosseous muscle and the oblique head&nbsp;of the adductor pollicis. It then accompanies the first&nbsp;metacarpal bone (medial side) to the base of the proximal&nbsp;phalanx, where it can be found deep to the tendon of&nbsp;the flexor pollicis longus muscle; it then divides into two&nbsp;branches to supply the digit. One of the reasons that a&nbsp;clinician palpates the pulse of a patient using the tips of&nbsp;the index and middle fingers is to avoid feeling his or her&nbsp;own pulse of the princeps pollicis artery.</div>",,,,,,,,"Radial artery","Deep palmar arch","Princeps pollicis artery","Ulnar artery","Superficial palmar arch","Proper palmar digital arteries",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Cardiovascular::Vascular::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Nervous::PNS::Upper_Limb::Hand/Wrist/Forearm"
"42,;A1yL*k",1537756297316,"Upper Limb","<img src=""paste-18481244274689.jpg"" />","<div>Because of its superficial position overlying the cubital&nbsp;fossa, the median cubital vein is commonly used for&nbsp;venipuncture. It crosses the cubital fossa anterior to the&nbsp;bicipital aponeurosis, which helps protect the underlying&nbsp;structures within the cubital fossa, namely the brachial&nbsp;artery and median nerve. These structures may still be&nbsp;injured during venipuncture, however, if the needle is&nbsp;inserted too deeply or too far medially in the cubital fossa.</div>",,,,,,,,"Basilic vein","Radial artery","Ulnar artery",Ulna,"Median cubital vein",Radius,,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Arm DopeRanatomy::System::Cardiovascular::Vascular::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Muscular::Upper_Limb::Arm"
:ScIc}oScC,1537756379579,"Upper Limb","<img src=""paste-18558553686017.jpg"" />","<div>In a T1-weighted MR image such as this one, fat is&nbsp;bright. So in this image, it is actually the marrow of&nbsp;the metacarpal bones that makes them appear bright.&nbsp;The surrounding cortical bone has no signal and therefore&nbsp;appears very dark.</div>",,,,,,,,"Second and third metacarpal bones","Thenar muscles","Fifth metacarpal bone","Hypothenar muscles","<div>Tendons of flexor digitorum superficialis and&nbsp;profundus muscles</div>",,,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Musculoskeletal::Skeletal::Upper_Limb::Hand/Wrist/Forearm"
TP@m)9.|6@,1537756465857,"Head and Neck","<img src=""paste-18833431592961.jpg"" />","<div>If a person loses his or her mandibular teeth, the alveolar&nbsp;process of the mandible (the portion that supports the&nbsp;teeth) degenerates. When this happens, the mental&nbsp;foramen often comes to lie on the superior aspect of&nbsp;the body of the mandible so that with each chewing&nbsp;motion, pressure is placed on the nerve that exits from&nbsp;the foramen, the mental nerve. This is quite painful to the&nbsp;person while eating, especially if the person is wearing&nbsp;dentures.</div>",,,,,,,,"Coronal suture","Sphenoid bone (greater wing)","Articular tubercle (temporal bone)","Mental foramen","Squamosal suture","External acoustic meatus","Mastoid process","Angle of the mandible",,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Musculoskeletal::Skeletal::Head&Neck::Cranial"
X3S]#<E3nb,1537910951928,"Head and Neck","<img src=""paste-19159849107457.jpg"" />",,,,,,,,,"Supraorbital notch (foramen)","Superior orbital fissure","Middle nasal concha (turbinate)","Inferior nasal concha (turbinate)","Frontonasal suture","Nasal septum (vomer)","Ramus of mandible","Mental foramen",,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Musculoskeletal::Skeletal::Head&Neck::Cranial"
@&Au(:I?9|,1537911015493,"Head and Neck","<img src=""paste-19232863551489.jpg"" />","<div>As the optic nerve (cranial nerve II) travels within the&nbsp;optic canal, the periosteum of the canal becomes firmly&nbsp;affixed to the dura surrounding the nerve. This can be&nbsp;significant in head trauma because a blow to the head can&nbsp;cause the nerve fibers within the nerve to shear due to&nbsp;this attachment. This can result in “indirect” trauma to the&nbsp;nerve (tearing of fibers) and cause visual abnormalities,&nbsp;including blindness.</div>",,,,,,,,"Optic canal","Lateral pterygoid plate of pterygoid process","Pterygoid hamulus","Superior orbital fissure","Foramen rotundum",,,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Musculoskeletal::Skeletal::Head&Neck"
ZKr:a*d:SE,1537911090340,"Head and Neck","<img src=""paste-19292993093633.jpg"" />",,,,,,,,,"Lesser wing of sphenoid bone","Sphenoidal sinus","Pterygoid canal","Pterygoid hamulus","Orbital surface of greater wing of sphenoid","Foramen rotundum",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Musculoskeletal::Skeletal::Head&Neck"
`M9.TOI]I,1537911135319,"Head and Neck","<img src=""paste-19353122635777.jpg"" />",,,,,,,,,"Occipital condyle","Pharyngeal tubercle","External occipital protuberance","Condylar canal","Foramen magnum",,,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Musculoskeletal::Skeletal::Head&Neck DopeRanatomy::System::Otorhinolaryngological"
"9g9hj~,.!x",1537911177254,"Head and Neck","<img src=""paste-19408957210625.jpg"" />","<div>The joint between the mandible and the temporal bone&nbsp;(temporomandibular joint [TMJ]) is located at the&nbsp;mandibular fossa. This joint is a bicondylar joint, actually&nbsp;involving the joints of both sides. Within each TMJ, an&nbsp;articular disk separates the joint into upper and lower joint&nbsp;cavities. The upper joint cavity is a sliding joint, allowing&nbsp;protrusion and retrusion of the mandible. The lower joint&nbsp;cavity primarily acts as a hinge joint, but some rotation&nbsp;is permitted. This is associated with the grinding motion&nbsp;of the teeth during chewing. Another example of a&nbsp;bicondylar joint is the knee, although in this case, the two&nbsp;condyles are contained within each joint cavity.</div>",,,,,,,,"Squamous part of temporal bone","Zygomatic process of temporal bone","Mandibular fossa","External acoustic meatus","Mastoid process",,,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Musculoskeletal::Skeletal::Head&Neck"
!=Z{pk#1b[,1537911436667,"Head and Neck","<img src=""paste-19679540150273.jpg"" />",,,,,,,,,"Zygomatic process of frontal bone","Anterior ethmoidal foramen (canal)","Posterior ethmoidal foramen (canal)","Supraorbital notch","Orbital plate of frontal bone","Ethmoidal notch",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Musculoskeletal::Skeletal::Head&Neck"
19TFx<e&Ld,1537911495174,"Head and Neck","<img src=""paste-19743964659713.jpg"" />","<div>The olfactory nerve filaments pass from the olfactory&nbsp;mucosa in the upper part of the nasal cavity through the&nbsp;foramina of the cribriform plate to reach the olfactory bulb&nbsp;of the brain. Together, these nerve filaments comprise the&nbsp;second cranial nerve, the olfactory nerve. It is believed that&nbsp;some neurological conditions such as Parkinson’s disease&nbsp;may develop as a result of viruses following these nerves&nbsp;through these foramina to reach the brain.</div>",,,,,,,,"Frontal crest","Cribriform plate of ethmoidal bone","Lesser wing of sphenoidal bone","Foramen rotundum","Foramen spinosum","Jugular foramen","Anterior clinoid process","Sella turcica (hypophysial fossa)","Groove for superior petrosal sinus",Diploë,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Musculoskeletal::Skeletal::Head&Neck"
7Mu|fsGgUs,1537911613565,"Head and Neck","<img src=""paste-19924353286145.jpg"" />","<div>Emissary veins pass through the parietal foramina&nbsp;connecting the veins in the scalp to the superior sagittal&nbsp;sinus. These veins are valveless and can therefore transmit&nbsp;infected thrombi from the scalp to the cranial cavity,&nbsp;leading to encephalitis.</div>",,,,,,,,"Sagittal suture","Lambdoid suture","External occipital protuberance","Parietal foramen",Lambda,,,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Musculoskeletal::Skeletal::Head&Neck"
PKmkicdz:!,1537911667678,"Head and Neck","<img src=""paste-20053202305025.jpg"" />",,,,,,,,,"Incisive fossa","Palatine process of maxilla","Horizontal plate of palatine",Choanae,"Greater palatine foramen","Lesser palatine foramen",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Mouth DopeRanatomy::System::Musculoskeletal::Skeletal::Head&Neck::Mouth"
-LjQ}=ub1^,1537911760732,"Head and Neck","<img src=""paste-20186346291201 (1).jpg"" />","<div>The lamina papyracea is the part of the ethmoid bone that&nbsp;makes up the medial wall of the orbit. It is very thin and&nbsp;therefore fractures easily when there is a blow-out fracture&nbsp;of the orbit, as occurs when a person is hit in the orbit by a&nbsp;blunt object such as a softball. This thin-walled border also&nbsp;may be penetrated by infections, enabling them to spread&nbsp;from the ethmoidal sinus to the orbit.</div>",,,,,,,,"Orbital plate of ethmoid bone (lamina papyracea)","Fossa for lacrimal sac","Infraorbital foramen","Anterior and posterior ethmoidal foramina","Greater wing of sphenoidal bone","Inferior orbital fissure",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Musculoskeletal::Skeletal::Head&Neck"
7r*4y}ts<.,1537911897550,"Head and Neck","<img src=""paste-20383914786817.jpg"" />",,,,,,,,,"Condylar process","Articular tubercle","Mandibular notch","Angle of mandible","Zygomatic bone","Coronoid process","Mental foramen",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Cranial DopeRanatomy::System::Musculoskeletal::Skeletal::Head&Neck::Cranial"
T_W/Ihpe7K,1537911954192,"Head and Neck","<img src=""paste-20456929230849.jpg"" />",,,,,,,,,"Lateral pterygoid muscle","Medial pterygoid muscle","Posterior belly of digastric muscle","Masseter muscle","Temporal muscle","Parotid duct (cut)","Buccinator muscle",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Mouth DopeRanatomy::System::Otorhinolaryngological"
@EUglLD-p3,1537912020109,"Head and Neck","<img src=""paste-20521353740289.jpg"" />",,,,,,,,,"Temporal muscle","External acoustic meatus","Masseter muscle","Zygomatic arch","Temporomandibular joint","Buccinator muscle",,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Otorhinolaryngological"
",tco`ve47q",1537912067374,"Head and Neck","<img src=""paste-20577188315137.jpg"" />","<div>The temporomandibular joint (TMJ) may be dislocated&nbsp;anteriorly (even by an excessive yawn) such that the&nbsp;mandibular condyle comes to lie anterior to the articular&nbsp;tubercle of the temporal bone. To reposition, the body&nbsp;of the mandible must be pushed inferiorly and then&nbsp;posteriorly.</div>",,,,,,,,"Lateral pterygoid muscles","Medial pterygoid muscle","Temporomandibular joint",Mandible,,,,,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Otorhinolaryngological"
<BH<0y1s=O,1537912137404,"Head and Neck","<img src=""paste-20650202759169.jpg"" />","<div>The depressor anguli oris muscle is innervated by the&nbsp;marginal mandibular branch of the facial nerve. This nerve&nbsp;runs very superficially (immediately deep to the platysma&nbsp;muscle) along the body of the mandible and is easily cut&nbsp;during facial surgery. Although the loss of this muscle&nbsp;would seem trivial, it is not because the depressor anguli&nbsp;oris is very important for making normal facial expressions,&nbsp;including smiling. Facial surgeons typically try to stay&nbsp;superficial to the platysma muscle in this region so that&nbsp;they do not inadvertently transect the nerve.</div>",,,,,,,,"Frontal belly of occipitofrontalis muscle","Palpebral part of orbicularis oculi muscle","Levator labii superioris muscle","Orbicularis oris muscle","Zygomaticus major muscle","Depressor anguli oris muscle","Platysma muscle",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck::Face DopeRanatomy::System::Otorhinolaryngological"
:]Sg$#3*3^,1537912238834,"Head and Neck","<img src=""paste-20817706483713.jpg"" />","<div>Eagle syndrome (styloid process–carotid artery syndrome)&nbsp;is a condition associated with an exceptionally long styloid&nbsp;process (more than 30 mm) that interferes with adjacent&nbsp;structures. The patient typically presents with unilateral&nbsp;sore throat, swallowing difficulties, tinnitus, facial and&nbsp;neck pain, and earache. The elongated styloid process&nbsp;can also cause compression of the internal carotid artery,&nbsp;particularly when the head is turned.</div>",,,,,,,,"Temporal fascia","Zygomatic arch","Styloid process","Stylohyoid muscle","Orbital part of orbicularis oculi muscle","Depressor anguli oris muscle","Mylohyoid muscle","Sternohyoid muscle","Omohyoid muscle",,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Otorhinolaryngological"
!R?5O+hyE8,1537912317746,"Head and Neck","<img src=""paste-20959440404481.jpg"" />","<div>The supraclavicular nerves provide cutaneous innervation&nbsp;to the neck and shoulder and contain nerve elements&nbsp;from the third and fourth cervical nerves. The phrenic&nbsp;nerve, which innervates the diaphragm, also contains&nbsp;nerve elements from the third and fourth cervical&nbsp;nerves. This explains why pain from the diaphragm and&nbsp;surrounding area may be referred to the shoulder.</div>",,,,,,,,"Galea aponeurotica","Superficial temporal artery","External carotid artery","Great auricular nerve","Supraclavicular nerves","Maxillary artery","Buccal nerve (of trigeminal nerve)","Transverse cervical nerve",,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Otorhinolaryngological"
;5$]u8&(<2,1537912387801,"Head and Neck","<img src=""paste-21096879357953.jpg"" />",,,,,,,,,"Olfactory tract","Oculomotor nerve (n. III)","Abducent nerve (n. VI)","Optic nerve (n. II)","Trigeminal nerve (n. V)","<div>Facial nerve (n. VII), nervus intermedius, and&nbsp;vestibulocochlear nerve (n. VIII)</div>","Straight sinus",,,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Nervous::PNS::Head&Neck"
V5:|>ic(c!,1537912464316,"Head and Neck","<img src=""paste-21169893801985.jpg"" />","<div>The secretory cells within the parotid gland are innervated&nbsp;by the glossopharyngeal nerve (IX). However, the&nbsp;postganglionic parasympathetic fibers to this gland&nbsp;synapse in the otic ganglion in the infratemporal fossa and&nbsp;then travel with the auriculotemporal nerve to reach the&nbsp;gland. This is one example in which autonomic fibers in the&nbsp;head “hitch a ride” with branches of the trigeminal nerve&nbsp;to reach their destination.</div>",,,,,,,,"Auriculotemporal nerve","Occipital artery","Parotid gland","Splenius capitis muscle","Trapezius muscle","External jugular vein","Supraorbital nerves","Zygomaticus major muscle","Zygomatic and buccal branches of facial nerve","Platysma muscle",,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Cardiovascular::Vascular::Head&Neck"
%R%&?N0Wte,1537912546815,"Head and Neck","<img src=""paste-21247203213313_1349468305012.jpg"" />",,,,,,,,,"Facial nerve (n. VII)","Great auricular nerve","Parotid plexus","Sternocleidomastoid muscle","Cervical branch of facial nerve","Transverse cervical nerve","Facial artery","Anterior belly of digastric muscle","Omohyoid muscle",,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Otorhinolaryngological"
0D@n]a[rU],1537912609568,"Head and Neck","<img src=""paste-21320217657345.jpg"" />","<div>The orbicularis oculi muscle closes the eye and is&nbsp;innervated by the facial nerve. In Bell’s palsy, this nerve is&nbsp;temporarily weakened or paralyzed, and the patient may&nbsp;have to wear an eye patch to protect the eye.</div>",,,,,,,,"Superficial temporal artery","Auriculotemporal nerve","Masseteric artery and nerve","External carotid artery","Sternocleidomastoid muscle","Orbicularis oculi muscle","Angular artery","Facial artery",,,,,,,,,,,,,"DopeRanatomy::#RANATOMY DopeRanatomy::Region::Head&Neck DopeRanatomy::System::Nervous::PNS::Head&Neck::Face"
